Country,Variable,YEA,Unit,Value
Australia,"Renewable electricity, % total electricity generation",2006,Percentage,9.3
Australia,"Renewable electricity, % total electricity generation",2007,Percentage,8.65
Australia,"Renewable electricity, % total electricity generation",2008,Percentage,8.12
Australia,"Renewable electricity, % total electricity generation",2009,Percentage,7.5
Australia,"Renewable electricity, % total electricity generation",2010,Percentage,8.6
Australia,"Renewable electricity, % total electricity generation",2011,Percentage,10.36
Australia,"Renewable electricity, % total electricity generation",2012,Percentage,10.49
Australia,"Renewable electricity, % total electricity generation",2013,Percentage,13.12
Australia,"Renewable electricity, % total electricity generation",2014,Percentage,14.6
Australia,"Renewable electricity, % total electricity generation",2015,Percentage,13.3
Australia,"Renewable electricity, % total electricity generation",2016,Percentage,14.5
Australia,"Renewable electricity, % total electricity generation",2017,Percentage,15.6
Australia,"Renewable electricity, % total electricity generation",2018,Percentage,17.03
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",1995,Percentage,6.02
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",1997,Percentage,6.02
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2001,Percentage,5.55
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2005,Percentage,3.32
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2009,Percentage,3.65
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2010,Percentage,3.46
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2011,Percentage,3.43
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2012,Percentage,4.09
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2013,Percentage,5.03
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2014,Percentage,4.84
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2015,Percentage,4.27
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2016,Percentage,3.96
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2017,Percentage,4.16
Australia,"Water stress, total freshwater abstraction as % total available renewable resources",2018,Percentage,4.39
Australia,"Environmentally related taxes, % GDP",1995,Percentage,2.61
Australia,"Environmentally related taxes, % GDP",1996,Percentage,2.54
Australia,"Environmentally related taxes, % GDP",1997,Percentage,2.78
Australia,"Environmentally related taxes, % GDP",1998,Percentage,2.88
Australia,"Environmentally related taxes, % GDP",1999,Percentage,2.58
Australia,"Environmentally related taxes, % GDP",2000,Percentage,2.49
Australia,"Environmentally related taxes, % GDP",2001,Percentage,2.4
Australia,"Environmentally related taxes, % GDP",2002,Percentage,2.41
Australia,"Environmentally related taxes, % GDP",2003,Percentage,2.33
Australia,"Environmentally related taxes, % GDP",2004,Percentage,2.25
Australia,"Environmentally related taxes, % GDP",2005,Percentage,2.08
Australia,"Environmentally related taxes, % GDP",2006,Percentage,2.02
Australia,"Environmentally related taxes, % GDP",2007,Percentage,1.95
Australia,"Environmentally related taxes, % GDP",2008,Percentage,1.76
Australia,"Environmentally related taxes, % GDP",2009,Percentage,1.84
Australia,"Environmentally related taxes, % GDP",2010,Percentage,1.79
Australia,"Environmentally related taxes, % GDP",2011,Percentage,1.73
Australia,"Environmentally related taxes, % GDP",2012,Percentage,2.24
Australia,"Environmentally related taxes, % GDP",2013,Percentage,2.24
Australia,"Environmentally related taxes, % GDP",2014,Percentage,1.78
Australia,"Environmentally related taxes, % GDP",2015,Percentage,1.8
Australia,"Environmentally related taxes, % GDP",2016,Percentage,1.69
Australia,"Environmentally related taxes, % GDP",2017,Percentage,0.71
Australia,"Environmentally related taxes, % GDP",2018,Percentage,0.68
Australia,Real GDP per capita,1995,US Dollar,33167.72
Australia,Real GDP per capita,1996,US Dollar,34049.68
Australia,Real GDP per capita,1997,US Dollar,35237.17
Australia,Real GDP per capita,1998,US Dollar,36616.83
Australia,Real GDP per capita,1999,US Dollar,37631.38
Australia,Real GDP per capita,2000,US Dollar,37962.63
Australia,Real GDP per capita,2001,US Dollar,38975.05
Australia,Real GDP per capita,2002,US Dollar,39733.15
Australia,Real GDP per capita,2003,US Dollar,40935.01
Australia,Real GDP per capita,2004,US Dollar,41776.92
Australia,Real GDP per capita,2005,US Dollar,42402.56
Australia,Real GDP per capita,2006,US Dollar,43414.66
Australia,Real GDP per capita,2007,US Dollar,44150.67
Australia,Real GDP per capita,2008,US Dollar,44084.18
Australia,Real GDP per capita,2009,US Dollar,44137.88
Australia,Real GDP per capita,2010,US Dollar,44495.75
Australia,Real GDP per capita,2011,US Dollar,45594.02
Australia,Real GDP per capita,2012,US Dollar,45960.35
Australia,Real GDP per capita,2013,US Dollar,46341.17
Australia,Real GDP per capita,2014,US Dollar,46637.92
Australia,Real GDP per capita,2015,US Dollar,47226.78
Australia,Real GDP per capita,2016,US Dollar,47555.96
Australia,Real GDP per capita,2017,US Dollar,48109.73
Australia,Real GDP per capita,2018,US Dollar,48405.09
Belgio,"Renewable energy supply, % total energy supply",1995,Percentage,0.99
Belgio,"Renewable energy supply, % total energy supply",1996,Percentage,0.94
Belgio,"Renewable energy supply, % total energy supply",1997,Percentage,0.92
Belgio,"Renewable energy supply, % total energy supply",1998,Percentage,0.99
Belgio,"Renewable energy supply, % total energy supply",1999,Percentage,1.06
Belgio,"Renewable energy supply, % total energy supply",2000,Percentage,1.1
Belgio,"Renewable energy supply, % total energy supply",2001,Percentage,1.22
Belgio,"Renewable energy supply, % total energy supply",2002,Percentage,1.28
Belgio,"Renewable energy supply, % total energy supply",2003,Percentage,1.49
Belgio,"Renewable energy supply, % total energy supply",2004,Percentage,1.65
Belgio,"Renewable energy supply, % total energy supply",2005,Percentage,1.99
Belgio,"Renewable energy supply, % total energy supply",2006,Percentage,2.38
Belgio,"Renewable energy supply, % total energy supply",2007,Percentage,2.82
Belgio,"Renewable energy supply, % total energy supply",2008,Percentage,3.29
Belgio,"Renewable energy supply, % total energy supply",2009,Percentage,4.07
Belgio,"Renewable energy supply, % total energy supply",2010,Percentage,4.92
Belgio,"Renewable energy supply, % total energy supply",2011,Percentage,5.31
Belgio,"Renewable energy supply, % total energy supply",2012,Percentage,6.28
Belgio,"Renewable energy supply, % total energy supply",2013,Percentage,6.42
Belgio,"Renewable energy supply, % total energy supply",2014,Percentage,6.49
Belgio,"Renewable energy supply, % total energy supply",2015,Percentage,7.02
Belgio,"Renewable energy supply, % total energy supply",2016,Percentage,7.03
Belgio,"Renewable energy supply, % total energy supply",2017,Percentage,7.34
Belgio,"Renewable energy supply, % total energy supply",2018,Percentage,7.8
Belgio,"Renewable electricity, % total electricity generation",1995,Percentage,0.91
Belgio,"Renewable electricity, % total electricity generation",1996,Percentage,0.75
Belgio,"Renewable electricity, % total electricity generation",1997,Percentage,0.76
Belgio,"Renewable electricity, % total electricity generation",1998,Percentage,0.92
Belgio,"Renewable electricity, % total electricity generation",1999,Percentage,1.02
Belgio,"Renewable electricity, % total electricity generation",2000,Percentage,1.26
Belgio,"Renewable electricity, % total electricity generation",2001,Percentage,1.37
Belgio,"Renewable electricity, % total electricity generation",2002,Percentage,1.41
Belgio,"Renewable electricity, % total electricity generation",2003,Percentage,1.43
Belgio,"Renewable electricity, % total electricity generation",2004,Percentage,1.81
Belgio,"Renewable electricity, % total electricity generation",2005,Percentage,2.5
Belgio,"Renewable electricity, % total electricity generation",2006,Percentage,3.54
Belgio,"Renewable electricity, % total electricity generation",2007,Percentage,4.02
Belgio,"Renewable electricity, % total electricity generation",2008,Percentage,5.32
Belgio,"Renewable electricity, % total electricity generation",2009,Percentage,6.06
Belgio,"Renewable electricity, % total electricity generation",2010,Percentage,7.11
Belgio,"Renewable electricity, % total electricity generation",2011,Percentage,9.33
Belgio,"Renewable electricity, % total electricity generation",2012,Percentage,12.86
Belgio,"Renewable electricity, % total electricity generation",2013,Percentage,14.28
Belgio,"Renewable electricity, % total electricity generation",2014,Percentage,17.12
Belgio,"Renewable electricity, % total electricity generation",2015,Percentage,21.08
Belgio,"Renewable electricity, % total electricity generation",2016,Percentage,16.88
Belgio,"Renewable electricity, % total electricity generation",2017,Percentage,18.49
Belgio,"Renewable electricity, % total electricity generation",2018,Percentage,23.22
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",1995,Percentage,34.62
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",1996,Percentage,31.39
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",1997,Percentage,31.8
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",1998,Percentage,31.14
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",1999,Percentage,30
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2000,Percentage,31.51
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2001,Percentage,29.13
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2002,Percentage,27.95
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2003,Percentage,27.69
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2004,Percentage,26.76
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2005,Percentage,26.71
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2006,Percentage,27.32
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2007,Percentage,26.35
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2008,Percentage,26.19
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2009,Percentage,25.75
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2010,Percentage,25.33
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2011,Percentage,22.62
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2012,Percentage,22.53
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2013,Percentage,20.56
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2014,Percentage,19.41
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2015,Percentage,17.05
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2016,Percentage,19.77
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2017,Percentage,18.7
Belgio,"Water stress, total freshwater abstraction as % total available renewable resources",2018,Percentage,17.53
Belgio,"Environmentally related taxes, % GDP",1995,Percentage,2.52
Belgio,"Environmentally related taxes, % GDP",1996,Percentage,2.81
Belgio,"Environmentally related taxes, % GDP",1997,Percentage,2.83
Belgio,"Environmentally related taxes, % GDP",1998,Percentage,2.75
Belgio,"Environmentally related taxes, % GDP",1999,Percentage,2.74
Belgio,"Environmentally related taxes, % GDP",2000,Percentage,2.54
Belgio,"Environmentally related taxes, % GDP",2001,Percentage,2.53
Belgio,"Environmentally related taxes, % GDP",2002,Percentage,2.47
Belgio,"Environmentally related taxes, % GDP",2003,Percentage,2.51
Belgio,"Environmentally related taxes, % GDP",2004,Percentage,2.59
Belgio,"Environmentally related taxes, % GDP",2005,Percentage,2.53
Belgio,"Environmentally related taxes, % GDP",2006,Percentage,2.28
Belgio,"Environmentally related taxes, % GDP",2007,Percentage,2.22
Belgio,"Environmentally related taxes, % GDP",2008,Percentage,2.15
Belgio,"Environmentally related taxes, % GDP",2009,Percentage,2.23
Belgio,"Environmentally related taxes, % GDP",2010,Percentage,2.26
Belgio,"Environmentally related taxes, % GDP",2011,Percentage,2.3
Belgio,"Environmentally related taxes, % GDP",2012,Percentage,2.18
Belgio,"Environmentally related taxes, % GDP",2013,Percentage,2.1
Belgio,"Environmentally related taxes, % GDP",2014,Percentage,2.1
Belgio,"Environmentally related taxes, % GDP",2015,Percentage,2.1
Belgio,"Environmentally related taxes, % GDP",2016,Percentage,2.19
Belgio,"Environmentally related taxes, % GDP",2017,Percentage,2.25
Belgio,"Environmentally related taxes, % GDP",2018,Percentage,2.23
Belgio,Real GDP per capita,1995,US Dollar,35296.98
Belgio,Real GDP per capita,1996,US Dollar,35693.6
Belgio,Real GDP per capita,1997,US Dollar,36958.15
Belgio,Real GDP per capita,1998,US Dollar,37602.82
Belgio,Real GDP per capita,1999,US Dollar,38845.87
Belgio,Real GDP per capita,2000,US Dollar,40192.06
Belgio,Real GDP per capita,2001,US Dollar,40494.49
Belgio,Real GDP per capita,2002,US Dollar,41001.48
Belgio,Real GDP per capita,2003,US Dollar,41254.01
Belgio,Real GDP per capita,2004,US Dollar,42542.76
Belgio,Real GDP per capita,2005,US Dollar,43291.68
Belgio,Real GDP per capita,2006,US Dollar,44104.79
Belgio,Real GDP per capita,2007,US Dollar,45391.91
Belgio,Real GDP per capita,2008,US Dollar,45236
Belgio,Real GDP per capita,2009,US Dollar,43966.7
Belgio,Real GDP per capita,2010,US Dollar,44814.73
Belgio,Real GDP per capita,2011,US Dollar,45167.75
Belgio,Real GDP per capita,2012,US Dollar,45196.86
Belgio,Real GDP per capita,2013,US Dollar,45170.63
Belgio,Real GDP per capita,2014,US Dollar,45658.98
Belgio,Real GDP per capita,2015,US Dollar,46347.76
Belgio,Real GDP per capita,2016,US Dollar,46699.94
Belgio,Real GDP per capita,2017,US Dollar,47230.16
Belgio,Real GDP per capita,2018,US Dollar,47846.53
Canada,"Renewable energy supply, % total energy supply",1995,Percentage,17.81
Canada,"Renewable energy supply, % total energy supply",1996,Percentage,17.9
Canada,"Renewable energy supply, % total energy supply",1997,Percentage,17.56
Canada,"Renewable energy supply, % total energy supply",1998,Percentage,17.27
Canada,"Renewable energy supply, % total energy supply",1999,Percentage,17.56
Canada,"Renewable energy supply, % total energy supply",2000,Percentage,17.58
Canada,"Renewable energy supply, % total energy supply",2001,Percentage,16.59
Canada,"Renewable energy supply, % total energy supply",2002,Percentage,17.61
Canada,"Renewable energy supply, % total energy supply",2003,Percentage,16.22
Canada,"Renewable energy supply, % total energy supply",2004,Percentage,16.34
Canada,"Renewable energy supply, % total energy supply",2005,Percentage,16.17
Canada,"Renewable energy supply, % total energy supply",2006,Percentage,15.47
Canada,"Renewable energy supply, % total energy supply",2007,Percentage,16.18
Canada,"Renewable energy supply, % total energy supply",2008,Percentage,16.6
Canada,"Renewable energy supply, % total energy supply",2009,Percentage,16.96
Canada,"Renewable energy supply, % total energy supply",2010,Percentage,16.42
Canada,"Renewable energy supply, % total energy supply",2011,Percentage,17.01
Canada,"Renewable energy supply, % total energy supply",2012,Percentage,17.1
Canada,"Renewable energy supply, % total energy supply",2013,Percentage,17.69
Canada,"Renewable energy supply, % total energy supply",2014,Percentage,17.18
Canada,"Renewable energy supply, % total energy supply",2015,Percentage,17.21
Canada,"Renewable energy supply, % total energy supply",2016,Percentage,16.81
Canada,"Renewable energy supply, % total energy supply",2017,Percentage,16.63
Canada,"Renewable energy supply, % total energy supply",2018,Percentage,16.27
Canada,"Renewable electricity, % total electricity generation",1995,Percentage,61
Canada,"Renewable electricity, % total electricity generation",1996,Percentage,63.11
Canada,"Renewable electricity, % total electricity generation",1997,Percentage,62.35
Canada,"Renewable electricity, % total electricity generation",1998,Percentage,60.41
Canada,"Renewable electricity, % total electricity generation",1999,Percentage,61.18
Canada,"Renewable electricity, % total electricity generation",2000,Percentage,60.6
Canada,"Renewable electricity, % total electricity generation",2001,Percentage,58.03
Canada,"Renewable electricity, % total electricity generation",2002,Percentage,59.89
Canada,"Renewable electricity, % total electricity generation",2003,Percentage,58.92
Canada,"Renewable electricity, % total electricity generation",2004,Percentage,58.45
Canada,"Renewable electricity, % total electricity generation",2005,Percentage,59.84
Canada,"Renewable electricity, % total electricity generation",2006,Percentage,59.54
Canada,"Renewable electricity, % total electricity generation",2007,Percentage,60.27
Canada,"Renewable electricity, % total electricity generation",2008,Percentage,61.36
Canada,"Renewable electricity, % total electricity generation",2009,Percentage,63
Canada,"Renewable electricity, % total electricity generation",2010,Percentage,61.27
Canada,"Renewable electricity, % total electricity generation",2011,Percentage,62.48
Canada,"Renewable electricity, % total electricity generation",2012,Percentage,63.64
Canada,"Renewable electricity, % total electricity generation",2013,Percentage,64.06
Canada,"Renewable electricity, % total electricity generation",2014,Percentage,63.15
Canada,"Renewable electricity, % total electricity generation",2015,Percentage,64.03
Canada,"Renewable electricity, % total electricity generation",2016,Percentage,64.91
Canada,"Renewable electricity, % total electricity generation",2017,Percentage,66.56
Canada,"Renewable electricity, % total electricity generation",2018,Percentage,65.98
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",1995,Percentage,1.36
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",1996,Percentage,1.21
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2005,Percentage,1.14
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2007,Percentage,1.12
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2009,Percentage,0.89
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2011,Percentage,0.89
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2013,Percentage,0.93
Canada,"Water stress, total freshwater abstraction as % total available renewable resources",2015,Percentage,0.89
Canada,"Environmentally related taxes, % GDP",1995,Percentage,1.56
Canada,"Environmentally related taxes, % GDP",1996,Percentage,1.55
Canada,"Environmentally related taxes, % GDP",1997,Percentage,1.53
Canada,"Environmentally related taxes, % GDP",1998,Percentage,1.54
Canada,"Environmentally related taxes, % GDP",1999,Percentage,1.45
Canada,"Environmentally related taxes, % GDP",2000,Percentage,1.34
Canada,"Environmentally related taxes, % GDP",2001,Percentage,1.31
Canada,"Environmentally related taxes, % GDP",2002,Percentage,1.32
Canada,"Environmentally related taxes, % GDP",2003,Percentage,1.34
Canada,"Environmentally related taxes, % GDP",2004,Percentage,1.26
Canada,"Environmentally related taxes, % GDP",2005,Percentage,1.21
Canada,"Environmentally related taxes, % GDP",2006,Percentage,1.18
Canada,"Environmentally related taxes, % GDP",2007,Percentage,1.15
Canada,"Environmentally related taxes, % GDP",2008,Percentage,1.09
Canada,"Environmentally related taxes, % GDP",2009,Percentage,1.18
Canada,"Environmentally related taxes, % GDP",2010,Percentage,1.17
Canada,"Environmentally related taxes, % GDP",2011,Percentage,1.15
Canada,"Environmentally related taxes, % GDP",2012,Percentage,1.15
Canada,"Environmentally related taxes, % GDP",2013,Percentage,1.15
Canada,"Environmentally related taxes, % GDP",2014,Percentage,1.11
Canada,Real GDP per capita,1995,US Dollar,33415.58
Canada,Real GDP per capita,1996,US Dollar,33603.54
Canada,Real GDP per capita,1997,US Dollar,34695.27
Canada,Real GDP per capita,1998,US Dollar,35749.12
Canada,Real GDP per capita,1999,US Dollar,37290.48
Canada,Real GDP per capita,2000,US Dollar,38857.67
Canada,Real GDP per capita,2001,US Dollar,39125.85
Canada,Real GDP per capita,2002,US Dollar,39870.75
Canada,Real GDP per capita,2003,US Dollar,40224.82
Canada,Real GDP per capita,2004,US Dollar,41081.46
Canada,Real GDP per capita,2005,US Dollar,41999.24
Canada,Real GDP per capita,2006,US Dollar,42672.31
Canada,Real GDP per capita,2007,US Dollar,43135.46
Canada,Real GDP per capita,2008,US Dollar,43099.41
Canada,Real GDP per capita,2009,US Dollar,41363.36
Canada,Real GDP per capita,2010,US Dollar,42169.96
Canada,Real GDP per capita,2011,US Dollar,43073.05
Canada,Real GDP per capita,2012,US Dollar,43358.2
Canada,Real GDP per capita,2013,US Dollar,43901.73
Canada,Real GDP per capita,2014,US Dollar,44709.98
Canada,Real GDP per capita,2015,US Dollar,44670.06
Canada,Real GDP per capita,2016,US Dollar,44609.38
Canada,Real GDP per capita,2017,US Dollar,45417.38
Canada,Real GDP per capita,2018,US Dollar,46023.95
Danimarca,"Renewable energy supply, % total energy supply",1995,Percentage,6.69
Danimarca,"Renewable energy supply, % total energy supply",1996,Percentage,6.26
Danimarca,"Renewable energy supply, % total energy supply",1997,Percentage,7.26
Danimarca,"Renewable energy supply, % total energy supply",1998,Percentage,7.73
Danimarca,"Renewable energy supply, % total energy supply",1999,Percentage,8.49
Danimarca,"Renewable energy supply, % total energy supply",2000,Percentage,9.64
Danimarca,"Renewable energy supply, % total energy supply",2001,Percentage,10.16
Danimarca,"Renewable energy supply, % total energy supply",2002,Percentage,11.01
Danimarca,"Renewable energy supply, % total energy supply",2003,Percentage,12
Danimarca,"Renewable energy supply, % total energy supply",2004,Percentage,13.71
Danimarca,"Renewable energy supply, % total energy supply",2005,Percentage,15.04
Danimarca,"Renewable energy supply, % total energy supply",2006,Percentage,14.25
Danimarca,"Renewable energy supply, % total energy supply",2007,Percentage,16.18
Danimarca,"Renewable energy supply, % total energy supply",2008,Percentage,16.82
Danimarca,"Renewable energy supply, % total energy supply",2009,Percentage,17.94
Danimarca,"Renewable energy supply, % total energy supply",2010,Percentage,19.93
Danimarca,"Renewable energy supply, % total energy supply",2011,Percentage,22.15
Danimarca,"Renewable energy supply, % total energy supply",2012,Percentage,24.02
Danimarca,"Renewable energy supply, % total energy supply",2013,Percentage,24.78
Danimarca,"Renewable energy supply, % total energy supply",2014,Percentage,27.58
Danimarca,"Renewable energy supply, % total energy supply",2015,Percentage,29.38
Danimarca,"Renewable energy supply, % total energy supply",2016,Percentage,29.84
Danimarca,"Renewable energy supply, % total energy supply",2017,Percentage,32.99
Danimarca,"Renewable energy supply, % total energy supply",2018,Percentage,32.7
Danimarca,"Renewable electricity, % total electricity generation",1995,Percentage,5.04
Danimarca,"Renewable electricity, % total electricity generation",1996,Percentage,3.88
Danimarca,"Renewable electricity, % total electricity generation",1997,Percentage,6.61
Danimarca,"Renewable electricity, % total electricity generation",1998,Percentage,9.55
Danimarca,"Renewable electricity, % total electricity generation",1999,Percentage,11.25
Danimarca,"Renewable electricity, % total electricity generation",2000,Percentage,15.46
Danimarca,"Renewable electricity, % total electricity generation",2001,Percentage,15.49
Danimarca,"Renewable electricity, % total electricity generation",2002,Percentage,17.28
Danimarca,"Renewable electricity, % total electricity generation",2003,Percentage,17.49
Danimarca,"Renewable electricity, % total electricity generation",2004,Percentage,23.54
Danimarca,"Renewable electricity, % total electricity generation",2005,Percentage,27.07
Danimarca,"Renewable electricity, % total electricity generation",2006,Percentage,20.17
Danimarca,"Renewable electricity, % total electricity generation",2007,Percentage,26.21
Danimarca,"Renewable electricity, % total electricity generation",2008,Percentage,27.57
Danimarca,"Renewable electricity, % total electricity generation",2009,Percentage,27.66
Danimarca,"Renewable electricity, % total electricity generation",2010,Percentage,31.98
Danimarca,"Renewable electricity, % total electricity generation",2011,Percentage,40.25
Danimarca,"Renewable electricity, % total electricity generation",2012,Percentage,48.33
Danimarca,"Renewable electricity, % total electricity generation",2013,Percentage,45.96
Danimarca,"Renewable electricity, % total electricity generation",2014,Percentage,55.88
Danimarca,"Renewable electricity, % total electricity generation",2015,Percentage,65.43
Danimarca,"Renewable electricity, % total electricity generation",2016,Percentage,60.22
Danimarca,"Renewable electricity, % total electricity generation",2017,Percentage,70.26
Danimarca,"Renewable electricity, % total electricity generation",2018,Percentage,68.36
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",1995,Percentage,5.43
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",1996,Percentage,5.88
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",1997,Percentage,5.71
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",1998,Percentage,4.61
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",1999,Percentage,4.29
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2000,Percentage,4.44
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2001,Percentage,4.33
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2002,Percentage,4.09
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2003,Percentage,3.98
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2004,Percentage,4.14
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2005,Percentage,3.94
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2006,Percentage,4.14
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2007,Percentage,3.49
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2008,Percentage,4.26
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2009,Percentage,4.04
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2010,Percentage,5.77
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2011,Percentage,5.88
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2012,Percentage,5.34
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2013,Percentage,6.21
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2014,Percentage,6.19
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2015,Percentage,5.74
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2016,Percentage,5.43
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2017,Percentage,5.48
Danimarca,"Water stress, total freshwater abstraction as % total available renewable resources",2018,Percentage,6.77
Danimarca,"Environmentally related taxes, % GDP",1995,Percentage,4.34
Danimarca,"Environmentally related taxes, % GDP",1996,Percentage,4.57
Danimarca,"Environmentally related taxes, % GDP",1997,Percentage,4.59
Danimarca,"Environmentally related taxes, % GDP",1998,Percentage,5.29
Danimarca,"Environmentally related taxes, % GDP",1999,Percentage,5.36
Danimarca,"Environmentally related taxes, % GDP",2000,Percentage,4.95
Danimarca,"Environmentally related taxes, % GDP",2001,Percentage,4.9
Danimarca,"Environmentally related taxes, % GDP",2002,Percentage,5.09
Danimarca,"Environmentally related taxes, % GDP",2003,Percentage,4.89
Danimarca,"Environmentally related taxes, % GDP",2004,Percentage,5.1
Danimarca,"Environmentally related taxes, % GDP",2005,Percentage,5.06
